code_departement;Nom_departement;Latitude_departement;Longitude_departement
1;Ain;46.06982661084258;5.314318227704106
2;Aisne;49.79059041821432;3.661698032786745
3;Corse-du-Sud;41.77032908937448;9.073061004535632
4;Haute-Corse;42.4281385473358;9.15127944754542
5;Allier;46.36741828918459;3.141843438148506
6;Alpes de Hautes-Provence;43.94248335966634;6.197095859770173
7;Hautes-Alpes;44.72362364408723;6.481770349812223
8;Alpes-Maritimes;43.96435720759791;7.248261413812088
9;Ardèche;44.60379374646507;4.393512282154745
10;Ardennes;49.5622731008441;4.624314398328934
11;Ariège;42.8657173803276;1.397393171225403
12;Aube;48.19143751460597;4.23043207230259
13;Aude;43.05449704663315;2.530188567503643
14;Aveyron;44.21054106896226;2.740872810129346,44
15;Bouches-du-Rhône;43.59820245453278;5.042889777084824
16;Calvados;49.05989927620103;-0,20506204
17;Cantal;45.09702953505956;2.73869008575744
18;Charente;45.83388969899772;0.310416325365523
19;Charente-Maritime;45.8966752075066;-0,629719308
20;"Cher
";46.93379024730406;2.593164418439628
21;Corrèze;45.13054539840051;1.792252042908785
22;Côte-d'Or;47.47459813732737;4.762771799431476
23;Côtes d'Armor;48.34902812240889;-2,773519418
24;Creuse;45.91261760393982;2.08370586160072
25;Dordogne;44.97750469722347;0.7827818229799278
26;Doubs;47.16268684895761;6.361124001302969
27;Drôme;44.65911460682615;5.177655783431575
28;Eure;49.11498010204372;0.9320987702693913
29;Eure-et-Loir;48.27879122004564;1.409812545981254
30;Finistère;48.36820268069067;-3,939913981
31;Gard;44.0286503960121;4.24791565190155
32;Haute-Garonne;43.40703236835843;"
1.452215981283203"
33;"Gers
";43.7768010076147;0.374488733377575
34;Gironde;44.66410003206709;0,46226599
35;Hérault;43.53253634803409;3.243467950455981
36;"Ille-et-Vilaine
";48.21019082968944;1,575550358
37;Indre;46.67394451985259;1.577059682200954
38;Indre-et-Loire;47.20082642770471;0.7165598543229663
39;Isère;45.31952772656212;5.49754906293002
40;Jura;46.95539756436107;5.632719311404729
41;Landes;44.05698142734736;"0,7387135400481101
"
42;Loir-et-Cher;47.81074900331689;"1.142761780577473
"
43;"Loire
";45.83360931801304;4.050098563283186
44;Haute-Loire;45.16987306157486;3.841255541543546
45;Loire-Atlantique;47.41373831640699;1,679388285
46;Loiret;47.8422727206094;2.363115801361332
47;Lot;44.63571392239282;"1.635415090352495
"
48;Lot-et-Garonne;44.41326933310096;"0.4751446977698066
"
49;Lozere;44.65280388429142;"3.442952558438607
"
50;Maine-et-Loire;47.26735661391083;-0,555284519
51;Manche;49.35654384338893;-1,424661693
52;Marne;48.82528321469714;4.209158696569773
53;Haute-Marne;47.95036967486795;5.333221178656103
54;Mayenne;48.27008375359646;-0,613339344
55;Meurthe-et-Moselle;48.56552994017268;6.358930421536827
56;Meuse;49.01351928710938;5.371111154556278
57;Morbihan;47.82414549187435;"
-2,7379257800754"
58;Moselle;48.98596962403631;6.560607970888243
59;Nièvre;47.18620154856671;3.549861912756144
60;Nord;50.18580189566548;3.639425454698838
61;Oise;49.33699763441758;2.370394153448984
62;Orne;48.65786862790336;0.2300407092800612
63;Pas-de-Calais;50.61406526729381;1.978779856678472
64;Puy-de-Dôme;45.60194231037796;3.182413828151966
65;Pyrénées-Atlantiques;43.17031544292885;-0,797273771
66;Hautes-Pyrénées;42.97917446312928;0.1755777201183832
67;Pyrénées-Orientales;42.55854826844086;2.533459466885418
68;Bas-Rhin;48.76907393594713;7.650167055126986
69;Haut-Rhin;47.82457614715878;7.26533523962857
70;Rhône;45.85166305472812;4.625906814461075
71;Haute-Saône;47.74103544653981;6.210570316043103
72;Saône-et-Loire;46.65601730346682;4.543505430221568
73;Sarthe;47.83134359956016;0.1993830393696072
74;Savoie;45.49498558044433;6.403394222259528
75;Haute-Savoie;46.04525184631346;6.423393726348892
76;Paris;48.83702036396709;2.327291203008258
77;Seine-Maritime;49.64322864899674;0.9737580955363399
78;Seine-et-Marne;48.65617836715449;2.991471883172921
79;Yvelines;48.76893387940423;1.879307161127059
80;Deux-Sèvres;46.57865836087805;-0,308162488
81;Somme;50.01180258831961;2.027920670781342
82;Tarn;43.70904886978905;2.190188824136243
83;Tarn-et-Garonne;44.09682961709278;1.252293932345339
84;Var;43.44258314795084;6.271757486119996
85;Vaucluse;44.0154775832275;5.14928698259078
86;Vendée;46.53813471246248;-1,18054836
87;Vienne;46.41248242317927;0.521242413501497
88;Haute-Vienne;46.06434552710641;1.205463022734421
89;Vosges;48.06356698961302;6.57276696450009
90;Yonne;47.63478580024253;3.710050224310237
91;Territoire-de-Belfort;47.71310123970805;6.887273831687282
92;Essonne;48.48303367103017;2.23114304452163
93;Hauts-de-Seine;48.80299816218087;2.262005435015837
94;Seine-Saint-Denis;48.88773482129057;2.488050655155888
95;Val-de-Marne;48.76029141217083;2.47647610201841
96;Val-d'Oise;49.09303957469741;2.223838363579447
